SuperHero,SuperPower,IssueResolution
Kyle Rayner,Force Fields,Large Scale Conflict
Kyle Rayner,Empathy,Drug Addiction
Kyle Rayner,Energy Manipulation,Infrastructure Improvements
Kyle Rayner,Omnilingualism,Education Improvements
Kylo Ren,Agility,Large Scale Conflict
Kylo Ren,Accelerated Healing,Medical (COVID-19)
Kylo Ren,Durability,Medical (COVID-19)
Kylo Ren,Stealth,Miscellaneous
Kylo Ren,Danger Sense,Large Scale Conflict
Kylo Ren,Marksmanship,Large Scale Conflict
Kylo Ren,Weapons Master,Large Scale Conflict
Kylo Ren,Intelligence,Education Improvements
Kylo Ren,Super Strength,Infrastructure Improvements
Kylo Ren,Telepathy,Education Improvements
Kylo Ren,Energy Blasts,Infrastructure Improvements
Kylo Ren,Super Speed,Medical (COVID-19)
Kylo Ren,Enhanced Senses,Medical (COVID-19)
Kylo Ren,Telekinesis,Infrastructure Improvements
Kylo Ren,Jump,Miscellaneous
Kylo Ren,Reflexes,Miscellaneous
Kylo Ren,Force Fields,Large Scale Conflict
Kylo Ren,Psionic Powers,Drug Addiction
Kylo Ren,Precognition,Medical (COVID-19)
Kylo Ren,Hypnokinesis,Drug Addiction
Kylo Ren,Light Control,Drug Addiction
Kylo Ren,Illusions,Drug Addiction
Kylo Ren,The Force,Large Scale Conflict
Lady Bullseye,Marksmanship,Large Scale Conflict
Lady Deathstrike,Agility,Large Scale Conflict
Lady Deathstrike,Accelerated Healing,Medical (COVID-19)
Lady Deathstrike,Durability,Medical (COVID-19)
Lady Deathstrike,Stealth,Miscellaneous
Lady Deathstrike,Intelligence,Education Improvements
Lady Deathstrike,Super Strength,Infrastructure Improvements
Lady Deathstrike,Stamina,Medical (COVID-19)
Lady Deathstrike,Super Speed,Medical (COVID-19)
Lady Deathstrike,Reflexes,Miscellaneous
Lady Deathstrike,Technopath/Cyberpath,Infrastructure Improvements
Lady Deathstrike,Natural Weapons,Large Scale Conflict
Lara Croft,Agility,Large Scale Conflict
Lara Croft,Stealth,Miscellaneous
Lara Croft,Marksmanship,Large Scale Conflict
Lara Croft,Weapons Master,Large Scale Conflict
Lara Croft,Intelligence,Education Improvements
Lara Croft,Stamina,Medical (COVID-19)
Lara Croft,Reflexes,Miscellaneous
Lara Croft,Omnilingualism,Education Improvements
Leader,Intelligence,Education Improvements
Leader,Telepathy,Education Improvements
Leader,Telekinesis,Infrastructure Improvements
Leech,Power Nullifier,Miscellaneous
Legion,Agility,Large Scale Conflict
Legion,Accelerated Healing,Medical (COVID-19)
Legion,Stealth,Miscellaneous
Legion,Flight,Infrastructure Improvements
Legion,Super Strength,Infrastructure Improvements
Legion,Telepathy,Education Improvements
Legion,Duplication,Medical (COVID-19)
Legion,Stamina,Medical (COVID-19)
Legion,Super Speed,Medical (COVID-19)
Legion,Animal Oriented Powers,Miscellaneous
Legion,Teleportation,Medical (COVID-19)
Legion,Telekinesis,Infrastructure Improvements
Legion,Shapeshifting,Miscellaneous
Legion,Astral Projection,Drug Addiction
Legion,Fire Control,Climate Change
Legion,Force Fields,Large Scale Conflict
Legion,Power Nullifier,Miscellaneous
Legion,Psionic Powers,Drug Addiction
Legion,Power Absorption,Miscellaneous
Legion,Molecular Manipulation,Medical (COVID-19)
Legion,Adaptation,Large Scale Conflict
Legion,Mind Blast,Education Improvements
Legion,Levitation,Infrastructure Improvements
Legion,Time Travel,Medical (COVID-19)
Legion,Time Manipulation,Medical (COVID-19)
Legion,Reality Warping,Education Improvements
Leonardo,Agility,Large Scale Conflict
Leonardo,Accelerated Healing,Medical (COVID-19)
Leonardo,Stealth,Miscellaneous
Leonardo,Marksmanship,Large Scale Conflict
Leonardo,Weapons Master,Large Scale Conflict
Leonardo,Stamina,Medical (COVID-19)
Leonardo,Jump,Miscellaneous
Leonardo,Reflexes,Miscellaneous
Leonardo,Natural Armor,Large Scale Conflict
Leonardo,Sub-Mariner,Climate Change
Lex Luthor,Durability,Medical (COVID-19)
Lex Luthor,Flight,Infrastructure Improvements
Lex Luthor,Weapons Master,Large Scale Conflict
Lex Luthor,Intelligence,Education Improvements
Lex Luthor,Super Strength,Infrastructure Improvements
Lex Luthor,Energy Blasts,Infrastructure Improvements
Lex Luthor,Energy Beams,Large Scale Conflict
Lex Luthor,Energy Constructs,Infrastructure Improvements
Lex Luthor,Force Fields,Large Scale Conflict
Lex Luthor,Power Suit,Large Scale Conflict
Light Lass,Flight,Infrastructure Improvements
Light Lass,Electrokinesis,Infrastructure Improvements
Light Lass,Gravity Control,Large Scale Conflict
Lightning Lad,Electrokinesis,Infrastructure Improvements
Lightning Lord,Energy Absorption,Climate Change
Lightning Lord,Electrokinesis,Infrastructure Improvements
Little Epic,Super Speed,Medical (COVID-19)
Living Brain,Durability,Medical (COVID-19)
Living Brain,Flight,Infrastructure Improvements
Living Brain,Intelligence,Education Improvements
Living Brain,Super Strength,Infrastructure Improvements
Living Tribunal,Agility,Large Scale Conflict
Living Tribunal,Accelerated Healing,Medical (COVID-19)
Living Tribunal,Dimensional Awareness,Education Improvements
Living Tribunal,Stealth,Miscellaneous
Living Tribunal,Energy Absorption,Climate Change
Living Tribunal,Flight,Infrastructure Improvements
Living Tribunal,Intelligence,Education Improvements
Living Tribunal,Super Strength,Infrastructure Improvements
Living Tribunal,Telepathy,Education Improvements
Living Tribunal,Energy Blasts,Infrastructure Improvements
Living Tribunal,Size Changing,Infrastructure Improvements
Living Tribunal,Super Speed,Medical (COVID-19)
Living Tribunal,Death Touch,Miscellaneous
Living Tribunal,Telekinesis,Infrastructure Improvements
Living Tribunal,Energy Beams,Large Scale Conflict
Living Tribunal,Dimensional Travel,Miscellaneous
Living Tribunal,Immortality,Medical (COVID-19)
Living Tribunal,Astral Projection,Drug Addiction
Living Tribunal,Fire Control,Climate Change
Living Tribunal,Invulnerability,Medical (COVID-19)
Living Tribunal,Energy Constructs,Infrastructure Improvements
Living Tribunal,Force Fields,Large Scale Conflict
Living Tribunal,Probability Manipulation,Medical (COVID-19)
Living Tribunal,Gravity Control,Large Scale Conflict
Living Tribunal,Light Control,Drug Addiction
Living Tribunal,Energy Manipulation,Infrastructure Improvements
Living Tribunal,Time Travel,Medical (COVID-19)
Living Tribunal,Illusions,Drug Addiction
Living Tribunal,Omnipotent,Infrastructure Improvements
Living Tribunal,Energy Resistance,Large Scale Conflict
Living Tribunal,Magnetism,Infrastructure Improvements
Living Tribunal,Time Manipulation,Medical (COVID-19)
Living Tribunal,Invisibility,Miscellaneous
Living Tribunal,Matter Absorption,Miscellaneous
Living Tribunal,Reality Warping,Education Improvements
Liz Sherman,Fire Control,Climate Change
Lizard,Durability,Medical (COVID-19)
Lizard,Animal Attributes,Miscellaneous
Lizard,Super Strength,Infrastructure Improvements
Lizard,Telepathy,Education Improvements
Lizard,Stamina,Medical (COVID-19)
Lizard,Super Speed,Medical (COVID-19)
Lizard,Animal Oriented Powers,Miscellaneous
Lizard,Enhanced Senses,Medical (COVID-19)
Lizard,Jump,Miscellaneous
Lizard,Reflexes,Miscellaneous
Lizard,Natural Armor,Large Scale Conflict
Lizard,Regeneration,Medical (COVID-19)
Lizard,Natural Weapons,Large Scale Conflict
Lizard,Wallcrawling,Infrastructure Improvements
Lobo,Durability,Medical (COVID-19)
Lobo,Longevity,Medical (COVID-19)
Lobo,Intelligence,Education Improvements
Lobo,Super Strength,Infrastructure Improvements
Lobo,Duplication,Medical (COVID-19)
Lobo,Stamina,Medical (COVID-19)
Lobo,Enhanced Senses,Medical (COVID-19)
Lobo,Immortality,Medical (COVID-19)
Lobo,Invulnerability,Medical (COVID-19)
Lobo,Self-Sustenance,Medical (COVID-19)
Lobo,Regeneration,Medical (COVID-19)
Lobo,Toxin and Disease Resistance,Medical (COVID-19)
Lobo,Omnilingualism,Education Improvements
Loki,Accelerated Healing,Medical (COVID-19)
Loki,Durability,Medical (COVID-19)
Loki,Flight,Infrastructure Improvements
Loki,Longevity,Medical (COVID-19)
Loki,Intelligence,Education Improvements
Loki,Super Strength,Infrastructure Improvements
Loki,Stamina,Medical (COVID-19)
Loki,Energy Beams,Large Scale Conflict
Loki,Magic,Miscellaneous
Loki,Shapeshifting,Miscellaneous
Loki,Psionic Powers,Drug Addiction
Loki,Toxin and Disease Resistance,Medical (COVID-19)
Loki,Omnilingualism,Education Improvements
Loki,Portal Creation,Miscellaneous
Longshot,Agility,Large Scale Conflict
Longshot,Telepathy,Education Improvements
Longshot,Stamina,Medical (COVID-19)
Longshot,Super Speed,Medical (COVID-19)
Longshot,Reflexes,Miscellaneous
Longshot,Psionic Powers,Drug Addiction
Longshot,Probability Manipulation,Medical (COVID-19)
Lord Voldemort,Accelerated Healing,Medical (COVID-19)
Lord Voldemort,Stealth,Miscellaneous
Lord Voldemort,Flight,Infrastructure Improvements
Lord Voldemort,Intelligence,Education Improvements
Lord Voldemort,Telepathy,Education Improvements
Lord Voldemort,Energy Blasts,Infrastructure Improvements
Lord Voldemort,Possession,Miscellaneous
Lord Voldemort,Darkforce Manipulation,Miscellaneous
Lord Voldemort,Teleportation,Medical (COVID-19)
Lord Voldemort,Magic,Miscellaneous
Lord Voldemort,Shapeshifting,Miscellaneous
Lord Voldemort,Fire Control,Climate Change
Lord Voldemort,Invulnerability,Medical (COVID-19)
Lord Voldemort,Energy Constructs,Infrastructure Improvements
Lord Voldemort,Force Fields,Large Scale Conflict
Lord Voldemort,Animal Control,Miscellaneous
Lord Voldemort,Levitation,Infrastructure Improvements
Lord Voldemort,Toxin and Disease Control,Medical (COVID-19)
Lord Voldemort,Plant Control,Infrastructure Improvements
Lord Voldemort,Resurrection,Medical (COVID-19)
Lord Voldemort,Weather Control,Infrastructure Improvements
Lord Voldemort,Reality Warping,Education Improvements
Luke Cage,Accelerated Healing,Medical (COVID-19)
Luke Cage,Durability,Medical (COVID-19)
Luke Cage,Super Strength,Infrastructure Improvements
Luke Cage,Stamina,Medical (COVID-19)
Luke Cage,Jump,Miscellaneous
Luke Cage,Invulnerability,Medical (COVID-19)
Luke Campbell,Radiation Control,Climate Change
Luke Skywalker,Agility,Large Scale Conflict
Luke Skywalker,Accelerated Healing,Medical (COVID-19)
Luke Skywalker,Stealth,Miscellaneous
Luke Skywalker,Danger Sense,Large Scale Conflict
Luke Skywalker,Marksmanship,Large Scale Conflict
Luke Skywalker,Weapons Master,Large Scale Conflict
Luke Skywalker,Intelligence,Education Improvements
Luke Skywalker,Telepathy,Education Improvements
Luke Skywalker,Energy Blasts,Infrastructure Improvements
Luke Skywalker,Super Speed,Medical (COVID-19)
Luke Skywalker,Enhanced Senses,Medical (COVID-19)
Luke Skywalker,Telekinesis,Infrastructure Improvements
Luke Skywalker,Jump,Miscellaneous
Luke Skywalker,Astral Projection,Drug Addiction
Luke Skywalker,Reflexes,Miscellaneous
Luke Skywalker,Force Fields,Large Scale Conflict
Luke Skywalker,Empathy,Drug Addiction
Luke Skywalker,Psionic Powers,Drug Addiction
Luke Skywalker,Precognition,Medical (COVID-19)
Luke Skywalker,Enhanced Hearing,Large Scale Conflict
Luke Skywalker,Hypnokinesis,Drug Addiction
Luke Skywalker,Light Control,Drug Addiction
Luke Skywalker,Illusions,Drug Addiction
Luke Skywalker,Cloaking,Large Scale Conflict
Luke Skywalker,The Force,Large Scale Conflict
Luna,Psionic Powers,Drug Addiction
Lyja,Energy Blasts,Infrastructure Improvements
Lyja,Size Changing,Infrastructure Improvements
Lyja,Shapeshifting,Miscellaneous
MODOK,Agility,Large Scale Conflict
MODOK,Flight,Infrastructure Improvements
MODOK,Weapons Master,Large Scale Conflict
MODOK,Longevity,Medical (COVID-19)
MODOK,Intelligence,Education Improvements
MODOK,Telepathy,Education Improvements
MODOK,Energy Blasts,Infrastructure Improvements
MODOK,Telekinesis,Infrastructure Improvements
MODOK,Force Fields,Large Scale Conflict
MODOK,Empathy,Drug Addiction
MODOK,Psionic Powers,Drug Addiction
MODOK,Technopath/Cyberpath,Infrastructure Improvements
MODOK,Heat Generation,Infrastructure Improvements
MODOK,Levitation,Infrastructure Improvements
MODOK,Illusions,Drug Addiction
Mach-IV,Durability,Medical (COVID-19)
Mach-IV,Flight,Infrastructure Improvements
Mach-IV,Super Strength,Infrastructure Improvements
Mach-IV,Super Speed,Medical (COVID-19)
Mach-IV,Weapon-based Powers,Large Scale Conflict
Machine Man,Durability,Medical (COVID-19)
Machine Man,Flight,Infrastructure Improvements
Machine Man,Super Strength,Infrastructure Improvements
Machine Man,Stamina,Medical (COVID-19)
Machine Man,Weapon-based Powers,Large Scale Conflict
Magneto,Durability,Medical (COVID-19)
Magneto,Flight,Infrastructure Improvements
Magneto,Intelligence,Education Improvements
Magneto,Super Strength,Infrastructure Improvements
Magneto,Stamina,Medical (COVID-19)
Magneto,Enhanced Senses,Medical (COVID-19)
Magneto,Energy Beams,Large Scale Conflict
Magneto,Force Fields,Large Scale Conflict
Magneto,Telepathy Resistance,Miscellaneous
Magneto,Magnetism,Infrastructure Improvements
Magog,Durability,Medical (COVID-19)
Magog,Super Strength,Infrastructure Improvements
Magog,Energy Blasts,Infrastructure Improvements
Magog,Energy Beams,Large Scale Conflict
Magus,Energy Absorption,Climate Change
Magus,Flight,Infrastructure Improvements
Magus,Super Strength,Infrastructure Improvements
Magus,Size Changing,Infrastructure Improvements
Magus,Electrokinesis,Infrastructure Improvements
Magus,Shapeshifting,Miscellaneous
Magus,Immortality,Medical (COVID-19)
Magus,Elasticity,Infrastructure Improvements
Magus,Technopath/Cyberpath,Infrastructure Improvements
Magus,Omnilingualism,Education Improvements
Man of Miracles,Accelerated Healing,Medical (COVID-19)
Man of Miracles,Dimensional Awareness,Education Improvements
Man of Miracles,Energy Absorption,Climate Change
Man of Miracles,Danger Sense,Large Scale Conflict
Man of Miracles,Longevity,Medical (COVID-19)
Man of Miracles,Intelligence,Education Improvements
Man of Miracles,Super Strength,Infrastructure Improvements
Man of Miracles,Telepathy,Education Improvements
Man of Miracles,Super Speed,Medical (COVID-19)
Man of Miracles,Teleportation,Medical (COVID-19)
Man of Miracles,Telekinesis,Infrastructure Improvements
Man of Miracles,Magic,Miscellaneous
Man of Miracles,Immortality,Medical (COVID-19)
Man of Miracles,Element Control,Climate Change
Man of Miracles,Phasing,Infrastructure Improvements
Man of Miracles,Astral Projection,Drug Addiction
Man of Miracles,Invulnerability,Medical (COVID-19)
Man of Miracles,Energy Constructs,Infrastructure Improvements
Man of Miracles,Precognition,Medical (COVID-19)
Man of Miracles,Enhanced Hearing,Large Scale Conflict
Man of Miracles,Enhanced Sight,Miscellaneous
Man of Miracles,Molecular Manipulation,Medical (COVID-19)
Man of Miracles,Adaptation,Large Scale Conflict
Man of Miracles,Probability Manipulation,Medical (COVID-19)
Man of Miracles,Gravity Control,Large Scale Conflict
Man of Miracles,Energy Manipulation,Infrastructure Improvements
Man of Miracles,Time Travel,Medical (COVID-19)
Man of Miracles,Enhanced Smell,Miscellaneous
Man of Miracles,Omnipotent,Infrastructure Improvements
Man of Miracles,Omnilingualism,Education Improvements
Man of Miracles,Time Manipulation,Medical (COVID-19)
Man of Miracles,Reality Warping,Education Improvements
Man of Miracles,Omnipresent,Miscellaneous
Man of Miracles,Omniscient,Education Improvements
Man-Bat,Agility,Large Scale Conflict
Man-Bat,Flight,Infrastructure Improvements
Man-Bat,Animal Attributes,Miscellaneous
Man-Bat,Super Strength,Infrastructure Improvements
Man-Bat,Super Speed,Medical (COVID-19)
Man-Bat,Animal Oriented Powers,Miscellaneous
Man-Bat,Shapeshifting,Miscellaneous
Man-Bat,Reflexes,Miscellaneous
Man-Bat,Enhanced Hearing,Large Scale Conflict
Man-Bat,Echolocation,Climate Change
Man-Bat,Natural Weapons,Large Scale Conflict
Man-Thing,Durability,Medical (COVID-19)
Man-Thing,Stealth,Miscellaneous
Man-Thing,Underwater breathing,Medical (COVID-19)
Man-Thing,Super Strength,Infrastructure Improvements
Man-Thing,Immortality,Medical (COVID-19)
Man-Thing,Invulnerability,Medical (COVID-19)
Man-Thing,Empathy,Drug Addiction
Man-Thing,Substance Secretion,Medical (COVID-19)
Man-Thing,Toxin and Disease Control,Medical (COVID-19)
Man-Thing,Natural Weapons,Large Scale Conflict
Man-Thing,Toxin and Disease Resistance,Medical (COVID-19)
Man-Wolf,Agility,Large Scale Conflict
Man-Wolf,Accelerated Healing,Medical (COVID-19)
Man-Wolf,Super Strength,Infrastructure Improvements
Man-Wolf,Stamina,Medical (COVID-19)
Man-Wolf,Super Speed,Medical (COVID-19)
Man-Wolf,Animal Oriented Powers,Miscellaneous
Man-Wolf,Enhanced Senses,Medical (COVID-19)
Man-Wolf,Enhanced Hearing,Large Scale Conflict
Man-Wolf,Vision - Thermal,Infrastructure Improvements
Mandarin,Weapons Master,Large Scale Conflict
Mandarin,Intelligence,Education Improvements
Mandarin,Cryokinesis,Climate Change
Mandarin,Energy Blasts,Infrastructure Improvements
Mandarin,Weapon-based Powers,Large Scale Conflict
Mandarin,Electrokinesis,Infrastructure Improvements
Mandarin,Energy Beams,Large Scale Conflict
Mandarin,Self-Sustenance,Medical (COVID-19)
Mandarin,Mind Control,Education Improvements
Mandarin,Molecular Manipulation,Medical (COVID-19)
Mandarin,Levitation,Infrastructure Improvements
Mantis,Accelerated Healing,Medical (COVID-19)
Mantis,Durability,Medical (COVID-19)
Mantis,Flight,Infrastructure Improvements
Mantis,Longevity,Medical (COVID-19)
Mantis,Intelligence,Education Improvements
Mantis,Telepathy,Education Improvements
Mantis,Telekinesis,Infrastructure Improvements
Mantis,Astral Projection,Drug Addiction
Mantis,Fire Control,Climate Change
Mantis,Empathy,Drug Addiction
Mantis,Precognition,Medical (COVID-19)
Mantis,Regeneration,Medical (COVID-19)
Mantis,Telepathy Resistance,Miscellaneous
Mantis,Plant Control,Infrastructure Improvements
Martian Manhunter,Agility,Large Scale Conflict
Martian Manhunter,Durability,Medical (COVID-19)
Martian Manhunter,Stealth,Miscellaneous
Martian Manhunter,Flight,Infrastructure Improvements
Martian Manhunter,Marksmanship,Large Scale Conflict
Martian Manhunter,Intelligence,Education Improvements
Martian Manhunter,Super Strength,Infrastructure Improvements
Martian Manhunter,Telepathy,Education Improvements
Martian Manhunter,Size Changing,Infrastructure Improvements
Martian Manhunter,Stamina,Medical (COVID-19)
Martian Manhunter,Super Speed,Medical (COVID-19)
Martian Manhunter,Enhanced Senses,Medical (COVID-19)
Martian Manhunter,Telekinesis,Infrastructure Improvements
Martian Manhunter,Shapeshifting,Miscellaneous
Martian Manhunter,Phasing,Infrastructure Improvements
Martian Manhunter,Astral Projection,Drug Addiction
Martian Manhunter,Reflexes,Miscellaneous
Martian Manhunter,Invulnerability,Medical (COVID-19)
Martian Manhunter,Self-Sustenance,Medical (COVID-19)
Martian Manhunter,Mind Control,Education Improvements
Martian Manhunter,Enhanced Hearing,Large Scale Conflict
Martian Manhunter,Intangibility,Infrastructure Improvements
Martian Manhunter,Regeneration,Medical (COVID-19)
Martian Manhunter,Illusions,Drug Addiction
Martian Manhunter,Vision - Telescopic,Large Scale Conflict
Martian Manhunter,Toxin and Disease Resistance,Medical (COVID-19)
Martian Manhunter,Telepathy Resistance,Miscellaneous
Martian Manhunter,Invisibility,Miscellaneous
Martian Manhunter,Vision - Microscopic,Medical (COVID-19)
Martian Manhunter,Super Breath,Medical (COVID-19)
Martian Manhunter,Vision - Night,Large Scale Conflict
Martian Manhunter,Vision - Infrared,Miscellaneous
Martian Manhunter,Vision - Heat,Infrastructure Improvements
Martian Manhunter,Vision - X-Ray,Medical (COVID-19)
Martian Manhunter,Vision - Thermal,Infrastructure Improvements
Marvel Girl,Energy Absorption,Climate Change
Marvel Girl,Flight,Infrastructure Improvements
Marvel Girl,Telepathy,Education Improvements
Marvel Girl,Energy Blasts,Infrastructure Improvements
Marvel Girl,Telekinesis,Infrastructure Improvements
Marvel Girl,Astral Projection,Drug Addiction
Marvel Girl,Fire Control,Climate Change
Marvel Girl,Force Fields,Large Scale Conflict
Marvel Girl,Psionic Powers,Drug Addiction
Marvel Girl,Energy Manipulation,Infrastructure Improvements
Marvel Girl,Time Travel,Medical (COVID-19)
Master Brood,Accelerated Healing,Medical (COVID-19)
Master Brood,Longevity,Medical (COVID-19)
Master Brood,Immortality,Medical (COVID-19)
Master Chief,Agility,Large Scale Conflict
Master Chief,Accelerated Healing,Medical (COVID-19)
Master Chief,Durability,Medical (COVID-19)
Master Chief,Marksmanship,Large Scale Conflict
Master Chief,Longevity,Medical (COVID-19)
Master Chief,Stamina,Medical (COVID-19)
Master Chief,Super Speed,Medical (COVID-19)
Master Chief,Weapon-based Powers,Large Scale Conflict
Master Chief,Enhanced Senses,Medical (COVID-19)
Master Chief,Camouflage,Large Scale Conflict
Master Chief,Force Fields,Large Scale Conflict
Match,Accelerated Healing,Medical (COVID-19)
Match,Durability,Medical (COVID-19)
Match,Energy Absorption,Climate Change
Match,Flight,Infrastructure Improvements
Match,Super Strength,Infrastructure Improvements
Match,Energy Blasts,Infrastructure Improvements
Match,Super Speed,Medical (COVID-19)
Match,Telekinesis,Infrastructure Improvements
Match,Jump,Miscellaneous
Match,Invulnerability,Medical (COVID-19)
Match,Enhanced Hearing,Large Scale Conflict
Match,Vision - Telescopic,Large Scale Conflict
Match,Super Breath,Medical (COVID-19)
Match,Vision - Heat,Infrastructure Improvements
Match,Vision - X-Ray,Medical (COVID-19)
Matt Parkman,Telepathy,Education Improvements
Maverick,Electrokinesis,Infrastructure Improvements
Maxima,Durability,Medical (COVID-19)
Maxima,Flight,Infrastructure Improvements
Maxima,Super Strength,Infrastructure Improvements
Maxima,Stamina,Medical (COVID-19)
Maxima,Super Speed,Medical (COVID-19)
Maxima,Telekinesis,Infrastructure Improvements
Maxima,Force Fields,Large Scale Conflict
Maxima,Psionic Powers,Drug Addiction
Maxima,Mind Control,Education Improvements
Maxima,Mind Blast,Education Improvements
Maya Herrera,Substance Secretion,Medical (COVID-19)
Maya Herrera,Toxin and Disease Control,Medical (COVID-19)
Medusa,Durability,Medical (COVID-19)
Medusa,Super Strength,Infrastructure Improvements
Medusa,Stamina,Medical (COVID-19)
Medusa,Super Speed,Medical (COVID-19)
Medusa,Telekinesis,Infrastructure Improvements
Medusa,Reflexes,Miscellaneous
Medusa,Hair Manipulation,Miscellaneous
Meltdown,Agility,Large Scale Conflict
Meltdown,Energy Absorption,Climate Change
Meltdown,Energy Blasts,Infrastructure Improvements
Meltdown,Energy Beams,Large Scale Conflict
Meltdown,Energy Constructs,Infrastructure Improvements
Meltdown,Psionic Powers,Drug Addiction
Meltdown,Energy Manipulation,Infrastructure Improvements
Mephisto,Accelerated Healing,Medical (COVID-19)
Mephisto,Dimensional Awareness,Education Improvements
Mephisto,Durability,Medical (COVID-19)
Mephisto,Longevity,Medical (COVID-19)
Mephisto,Super Strength,Infrastructure Improvements
Mephisto,Energy Blasts,Infrastructure Improvements
Mephisto,Stamina,Medical (COVID-19)
Mephisto,Super Speed,Medical (COVID-19)
Mephisto,Magic,Miscellaneous
Mephisto,Dimensional Travel,Miscellaneous
Mephisto,Shapeshifting,Miscellaneous
Mephisto,Immortality,Medical (COVID-19)
Mephisto,Astral Projection,Drug Addiction
Mephisto,Self-Sustenance,Medical (COVID-19)
Mephisto,Molecular Manipulation,Medical (COVID-19)
Mephisto,Illusions,Drug Addiction
Mephisto,Toxin and Disease Resistance,Medical (COVID-19)
Mera,Cold Resistance,Miscellaneous
Mera,Durability,Medical (COVID-19)
Mera,Stealth,Miscellaneous
Mera,Underwater breathing,Medical (COVID-19)
Mera,Super Strength,Infrastructure Improvements
Mera,Telepathy,Education Improvements
Mera,Super Speed,Medical (COVID-19)
Mera,Jump,Miscellaneous
Mera,Dimensional Travel,Miscellaneous
Mera,Reflexes,Miscellaneous
Mera,Enhanced Hearing,Large Scale Conflict
Mera,Water Control,Infrastructure Improvements
Mera,Sub-Mariner,Climate Change
Mera,Vision - Night,Large Scale Conflict
Metallo,Durability,Medical (COVID-19)
Metallo,Super Strength,Infrastructure Improvements
Metallo,Size Changing,Infrastructure Improvements
Metallo,Stamina,Medical (COVID-19)
Metallo,Energy Beams,Large Scale Conflict
Metallo,Shapeshifting,Miscellaneous
Metallo,Radiation Control,Climate Change
Metallo,Technopath/Cyberpath,Infrastructure Improvements
Metallo,Regeneration,Medical (COVID-19)
Metamorpho,Shapeshifting,Miscellaneous
Metamorpho,Elemental Transmogrification,Miscellaneous
Metamorpho,Natural Armor,Large Scale Conflict
Metamorpho,Natural Weapons,Large Scale Conflict
Metron,Flight,Infrastructure Improvements
Metron,Longevity,Medical (COVID-19)
Metron,Intelligence,Education Improvements
Metron,Teleportation,Medical (COVID-19)
Metron,Time Travel,Medical (COVID-19)
Micah Sanders,Technopath/Cyberpath,Infrastructure Improvements
Michelangelo,Agility,Large Scale Conflict
Michelangelo,Accelerated Healing,Medical (COVID-19)
Michelangelo,Stealth,Miscellaneous
Michelangelo,Marksmanship,Large Scale Conflict
Michelangelo,Weapons Master,Large Scale Conflict
Michelangelo,Stamina,Medical (COVID-19)
Michelangelo,Jump,Miscellaneous
Michelangelo,Reflexes,Miscellaneous
Michelangelo,Natural Armor,Large Scale Conflict
Michelangelo,Sub-Mariner,Climate Change
Micro Lad,Size Changing,Infrastructure Improvements
Mimic,Durability,Medical (COVID-19)
Mimic,Flight,Infrastructure Improvements
Mimic,Super Strength,Infrastructure Improvements
Mimic,Cryokinesis,Climate Change
Mimic,Telepathy,Education Improvements
Mimic,Energy Blasts,Infrastructure Improvements
Mimic,Telekinesis,Infrastructure Improvements
Mimic,Reflexes,Miscellaneous
Mimic,Gliding,Miscellaneous
Minna Murray,Durability,Medical (COVID-19)
Minna Murray,Super Strength,Infrastructure Improvements
Minna Murray,Super Speed,Medical (COVID-19)
Minna Murray,Jump,Miscellaneous
Minna Murray,Immortality,Medical (COVID-19)
Misfit,Accelerated Healing,Medical (COVID-19)
Misfit,Super Strength,Infrastructure Improvements
Misfit,Teleportation,Medical (COVID-19)
Miss Martian,Accelerated Healing,Medical (COVID-19)
Miss Martian,Flight,Infrastructure Improvements
Miss Martian,Super Strength,Infrastructure Improvements
Miss Martian,Telepathy,Education Improvements
Miss Martian,Energy Blasts,Infrastructure Improvements
Miss Martian,Size Changing,Infrastructure Improvements
Miss Martian,Density Control,Climate Change
Miss Martian,Stamina,Medical (COVID-19)
Miss Martian,Super Speed,Medical (COVID-19)
Miss Martian,Telekinesis,Infrastructure Improvements
Miss Martian,Shapeshifting,Miscellaneous
Miss Martian,Invulnerability,Medical (COVID-19)
Miss Martian,Force Fields,Large Scale Conflict
Miss Martian,Self-Sustenance,Medical (COVID-19)
Miss Martian,Invisibility,Miscellaneous
Miss Martian,Vision - X-Ray,Medical (COVID-19)
Mister Fantastic,Durability,Medical (COVID-19)
Mister Fantastic,Intelligence,Education Improvements
Mister Fantastic,Size Changing,Infrastructure Improvements
Mister Fantastic,Shapeshifting,Miscellaneous
Mister Fantastic,Elasticity,Infrastructure Improvements
Mister Freeze,Cold Resistance,Miscellaneous
Mister Freeze,Durability,Medical (COVID-19)
Mister Freeze,Longevity,Medical (COVID-19)
Mister Freeze,Intelligence,Education Improvements
Mister Freeze,Super Strength,Infrastructure Improvements
Mister Freeze,Power Suit,Large Scale Conflict
Mister Knife,Weapons Master,Large Scale Conflict
Mister Knife,Intelligence,Education Improvements
Mister Mxyzptlk,Agility,Large Scale Conflict
Mister Mxyzptlk,Accelerated Healing,Medical (COVID-19)
Mister Mxyzptlk,Dimensional Awareness,Education Improvements
Mister Mxyzptlk,Flight,Infrastructure Improvements
Mister Mxyzptlk,Longevity,Medical (COVID-19)
Mister Mxyzptlk,Intelligence,Education Improvements
Mister Mxyzptlk,Cryokinesis,Climate Change
Mister Mxyzptlk,Energy Blasts,Infrastructure Improvements
