,Name,Full_Name,Alter_Egos,Birthplace,Occupation,Image_url
373,Juggernaut,Cain Marko,No alter egos found.,"Berkeley, California","Adventurer formerly Professional criminal, mercenary, soldier",https://www.superherodb.com/pictures2/portraits/10/100/826.jpg
374,Junkpile,,No alter egos found.,unknown,Mercenary; Former member of S.H.I.E.L.D.,https://www.superherodb.com/pictures2/portraits/10/100/10002.jpg
375,Justice,Vance Astrovik,No alter egos found.,unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/88.jpg
376,Jyn Erso,Jyn Erso,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10562.jpg
377,K-2SO,,No alter egos found.,Galactic Empire,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10643.jpg
378,Kang,Nathaniel Richards,Iron Lad,"Other Earth, 31st century",unknown,https://www.superherodb.com/pictures2/portraits/10/100/1053.jpg
379,Kathryn Janeway,Kathryn Janeway,No alter egos found.,"Bloomington, Indiana, Earth",Fleet Commander,https://www.superherodb.com/pictures2/portraits/10/100/10581.jpg
380,Katniss Everdeen,Katniss Everdeen,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10484.jpg
381,Kevin 11,Kevin Ethan Levin,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1408.jpg
382,Kick-Ass,Dave Lizewski,No alter egos found.,New York City,Student,https://www.superherodb.com/pictures2/portraits/10/100/1158.jpg
383,Kid Flash,Wallace Rudolph West,No alter egos found.,"Blue Valley, Nebraska",unknown,https://www.superherodb.com/pictures2/portraits/10/100/722.jpg
384,Kid Flash II,Bartholomew Allen II,"Flash IV, Impulse",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/894.jpg
385,Killer Croc,Waylon Jones,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/723.jpg
386,Killer Frost,Caitlin Snow,No alter egos found.,unknown,Scientist,https://www.superherodb.com/pictures2/portraits/10/100/10508.jpg
387,Kilowog,,No alter egos found.,Bolovax Vik,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1428.jpg
388,King Kong,King Kong,No alter egos found.,Skull Island,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10591.jpg
389,King Shark,Nanaue,No alter egos found.,unknown,Professional Criminal,https://www.superherodb.com/pictures2/portraits/10/100/10512.jpg
390,Kingpin,Wilson Grant Fisk,No alter egos found.,New York City area,"Criminal organizer and mastermind, president and owner of legitimate businesses",https://www.superherodb.com/pictures2/portraits/10/100/623.jpg
391,Klaw,Ulysses Klaw,No alter egos found.,"Vlaardingen, Netherlands","Criminal, former Scientist",https://www.superherodb.com/pictures2/portraits/10/100/1539.jpg
392,Kool-Aid Man,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1343.jpg
393,Kraven II,Alyosha Kravinoff,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1034.jpg
394,Kraven the Hunter,Sergei Kravinoff,No alter egos found.,"Volgograd (formerly Stalingrad), Russia","Professional game hunter, mercenary",https://www.superherodb.com/pictures2/portraits/10/100/1033.jpg
395,Krypto,Krypto the Superdog,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/725.jpg
396,Kyle Rayner,Kyle Rayner,No alter egos found.,"North Hollywood, Los Angeles, California","Green Lantern, Adventurer, Artist",https://www.superherodb.com/pictures2/portraits/10/100/1409.jpg
397,Kylo Ren,Ben Solo,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10559.jpg
398,Lady Bullseye,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1170.jpg
399,Lady Deathstrike,Yuriko Oyama,No alter egos found.,"Osaka, Japan",unknown,https://www.superherodb.com/pictures2/portraits/10/100/810.jpg
400,Leader,Samuel Sterns,No alter egos found.,"Boise, Idaho",unknown,https://www.superherodb.com/pictures2/portraits/10/100/885.jpg
401,Leech,,No alter egos found.,unknown,"Survivor, former student",https://www.superherodb.com/pictures2/portraits/10/100/834.jpg
402,Legion,David Haller,No alter egos found.,Israel,"Adventurer, Student",https://www.superherodb.com/pictures2/portraits/10/100/10651.jpg
403,Leonardo,Leonardo,No alter egos found.,unknown,Ninja,https://www.superherodb.com/pictures2/portraits/10/100/10327.jpg
404,Lex Luthor,Lex Luthor,No alter egos found.,unknown,Owner of LexCorp,https://www.superherodb.com/pictures2/portraits/10/100/727.jpg
405,Light Lass,Ayla Ranzz,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1178.jpg
406,Lightning Lad,Garth Ranzz,No alter egos found.,unknown,Legionnaire,https://www.superherodb.com/pictures2/portraits/10/100/1177.jpg
407,Lightning Lord,Mekt Ranzz,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1179.jpg
408,Living Brain,,No alter egos found.,unknown,Robot,https://www.superherodb.com/pictures2/portraits/10/100/1037.jpg
409,Living Tribunal,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10523.jpg
410,Liz Sherman,Elizabeth Anne Sherman,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/868.jpg
411,Lizard,Curtis Connors,No alter egos found.,"Coral Gables, Florida",Research biologist,https://www.superherodb.com/pictures2/portraits/10/100/11.jpg
412,Lobo,Lobo,No alter egos found.,unknown,"Assassin, Bounty Hunter, Priest",https://www.superherodb.com/pictures2/portraits/10/100/1127.jpg
413,Loki,Loki Laufeyson,No alter egos found.,"Jotunheim, Asgard",God of evil; former god of mischief and madness,https://www.superherodb.com/pictures2/portraits/10/100/928.jpg
414,Longshot,,No alter egos found.,unknown,"freedom fighter, stuntman rebel, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/1531.jpg
415,Luke Cage,Luke Cage,Power Man,"Harlem, New York City","Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs",https://www.superherodb.com/pictures2/portraits/10/100/269.jpg
416,Luke Campbell,Luke Campbell,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1311.jpg
417,Luke Skywalker,Luke Skywalker,No alter egos found.,Tatooine,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10447.jpg
418,Luna,Luna Maximoff,No alter egos found.,"Attilan, Blue Area of the Moon",unknown,https://www.superherodb.com/pictures2/portraits/10/100/933.jpg
419,Lyja,Lyja,No alter egos found.,unknown,Former Skrull Liason Officer,https://www.superherodb.com/pictures2/portraits/10/100/1017.jpg
420,Mach-IV,Abner Jenkins,No alter egos found.,"Baltimore, Maryland","Adventurer; former master mechanic, professional criminal, mercenary",https://www.superherodb.com/pictures2/portraits/10/100/370.jpg
421,Machine Man,"X-51, Aaron Stack",No alter egos found.,"Central City, California",Insurance Investigator,https://www.superherodb.com/pictures2/portraits/10/100/90.jpg
422,Magneto,Erik Magnus Lensherr,No alter egos found.,"Unrevealed, probably somewhere in Northern Europe","Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent",https://www.superherodb.com/pictures2/portraits/10/100/12.jpg
423,Magog,David Reid,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1324.jpg
424,Magus,,No alter egos found.,Kvch (Technarchy�s home planet),Ruler of the Technarchy,https://www.superherodb.com/pictures2/portraits/10/100/1297.jpg
425,Man of Miracles,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10889.jpg
426,Man-Bat,Robert Kirkland Langstrom,No alter egos found.,"Chicago, Illinois",Zoologist,https://www.superherodb.com/pictures2/portraits/10/100/731.jpg
427,Man-Thing,Dr. Theodore Sallis,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/382.jpg
428,Man-Wolf,John Jameson,No alter egos found.,"New York, New York","Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",https://www.superherodb.com/pictures2/portraits/10/100/91.jpg
429,Mandarin,Khan,No alter egos found.,China,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",https://www.superherodb.com/pictures2/portraits/10/100/1175.jpg
430,Mantis,,No alter egos found.,Vietnam,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",https://www.superherodb.com/pictures2/portraits/10/100/384.jpg
431,Martian Manhunter,J'onn J'onzz,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/733.jpg
432,Marvel Girl,Rachel Anne Summers,No alter egos found.,unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/94.jpg
433,Master Brood,Currently Colin Wood,No alter egos found.,Perhaps England,unknown,https://www.superherodb.com/pictures2/portraits/10/100/958.jpg
434,Master Chief,John-117,No alter egos found.,"Elysium City, Eridanus II",Master Chief Petty Officer of the Navy,https://www.superherodb.com/pictures2/portraits/10/100/1110.jpg
435,Match,Kent Connor,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1459.jpg
436,Matt Parkman,Matthew Parkman,No alter egos found.,unknown,NYPD detective,https://www.superherodb.com/pictures2/portraits/10/100/948.jpg
437,Maverick,Christopher Bradley,No alter egos found.,unknown,"Mercenary; former adventurer, student",https://www.superherodb.com/pictures2/portraits/10/100/257.jpg
438,Maxima,,No alter egos found.,Almerac,"Adventurer, Queen of the Almerac Empire",https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg
439,Maya Herrera,Maya Herrera,No alter egos found.,Dominican Republic,unknown,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg
440,Medusa,Medusalith Amaquelin Boltagon,No alter egos found.,"Island of Attilan, Atlantic Ocean","Queen, Royal interpreter",https://www.superherodb.com/pictures2/portraits/10/100/96.jpg
441,Meltdown,Tabitha Smith,Boom-Boom,"Roanoke, Virginia","Adventurer, former student, thief",https://www.superherodb.com/pictures2/portraits/10/100/258.jpg
442,Mephisto,,No alter egos found.,Hell,Lord of a realm of Hell,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg
443,Mera,Mera,No alter egos found.,unknown,Former queen of Atlantis; Former queen of Dimension Aqua,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg
444,Metallo,John Corben,No alter egos found.,unknown,Professional criminal,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg
445,Metamorpho,Rex Mason,No alter egos found.,unknown,"Adventurer, former Soldier of Fortune",https://www.superherodb.com/pictures2/portraits/10/100/738.jpg
446,Meteorite,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg
447,Metron,Metron,No alter egos found.,unknown,"Scientist, seeker of knowledge",https://www.superherodb.com/pictures2/portraits/10/100/841.jpg
448,Micah Sanders,Micah Sanders,No alter egos found.,unknown,Elementary school student,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg
449,Michelangelo,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg
450,Micro Lad,Gim Allon,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg
451,Mimic,Calvin Montgomery Rankin,No alter egos found.,"Passiac, New Jersey",unknown,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg
452,Minna Murray,Wilhelmina Harker,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg
453,Misfit,Charlotte Gage-Radcliffe,Batgirl V,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg
454,Miss Martian,M'gann M'orzz,No alter egos found.,Mars,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg
455,Mister Fantastic,Reed Richards,No alter egos found.,"Central City, California","Scientist, adventurer",https://www.superherodb.com/pictures2/portraits/10/100/408.jpg
456,Mister Freeze,Victor Fries,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg
457,Mister Knife,J'son,No alter egos found.,"Spartax, Spartoi Empire, near the Shi'ar Galaxy","Crimelord; former emperor, prince",https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg
458,Mister Mxyzptlk,Mr. Mxyzptlk,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg
459,Mister Sinister,Nathaniel Essex,No alter egos found.,"London, England","Geneticist, Criminal, biologist and mutant-supremacist",https://www.superherodb.com/pictures2/portraits/10/100/856.jpg
460,Mister Zsasz,Victor Zsasz,No alter egos found.,unknown,Serial Killer,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg
461,Mockingbird,Barbara Morse,No alter egos found.,"San Diego, California","Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist",https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg
462,MODOK,George Tarleton,No alter egos found.,unknown,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg
463,Mogo,Mogo,No alter egos found.,unknown,Green Lantern,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg
464,Mohinder Suresh,Mohinder Suresh,No alter egos found.,India,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor",https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg
465,Moloch,Edgar William Jacobi,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg
466,Molten Man,Mark Raxton,No alter egos found.,unknown,"Security guard for Osborn industries, former criminal, lab assistant",https://www.superherodb.com/pictures2/portraits/10/100/411.jpg
467,Monarch,Nathaniel Christopher Adam,No alter egos found.,unknown,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain",https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg
468,Monica Dawson,Monica Dawson,No alter egos found.,unknown,Fast food service,https://www.superherodb.com/pictures2/portraits/10/100/942.jpg
469,Moon Knight,Marc Spector,No alter egos found.,"Chicago, Illinois","Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver",https://www.superherodb.com/pictures2/portraits/10/100/415.jpg
470,Moonstone,Karla Sofen,No alter egos found.,"Van Nuys, California","former Adventurer, Psychiatrist",https://www.superherodb.com/pictures2/portraits/10/100/100.jpg
471,Morlun,Morlun,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg
472,Morph,Kevin Sydney,No alter egos found.,"Pittsburgh, Pennsylvania","Adventurer, reality traveler",https://www.superherodb.com/pictures2/portraits/10/100/102.jpg
473,Moses Magnum,Moses Magnum,No alter egos found.,unknown,"Terrorist, president of Magnum Munitions; former ruler of Canaan",https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg
474,Mr Immortal,Craig Hollis,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg
475,Mr Incredible,Robert Parr,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/869.jpg
476,Ms Marvel II,Sharon Ventura,She-Thing,"Pullman, Washington","Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",https://www.superherodb.com/pictures2/portraits/10/100/897.jpg
477,Multiple Man,James Arthur,No alter egos found.,"Los Alamos, New Mexico","Private investigator (formerly) Farmer, Adventurer",https://www.superherodb.com/pictures2/portraits/10/100/104.jpg
478,Mysterio,Quentin Beck,No alter egos found.,"New York, New York",Criminal; former Hollywood special effects designer and stunt man,https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg
479,Mystique,Raven Darkholme,No alter egos found.,unknown,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team",https://www.superherodb.com/pictures2/portraits/10/100/817.jpg
480,Namor,Namor McKenzie,No alter egos found.,Atlantis,"King of Atlantis, Adventurer; former warrior, commando, CEO",https://www.superherodb.com/pictures2/portraits/10/100/137.jpg
481,Namor,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg
482,Namora,Aquaria Nautica Neptunia,No alter egos found.,Unnamed Atlantean outpost,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg
483,Namorita,Namorita Prentiss,No alter egos found.,Atlantis Outskirts,"Superhero, formerly Leader of Atlantis",https://www.superherodb.com/pictures2/portraits/10/100/106.jpg
484,Naruto Uzumaki,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg
485,Nathan Petrelli,Nathan Petrelli,No alter egos found.,unknown,"formerly a U.S. Congressman, formerly a district attorney, formerly a Navy officer",https://www.superherodb.com/pictures2/portraits/10/100/949.jpg
486,Nebula,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg
487,Negasonic Teenage Warhead,Ellie Phimister,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg
488,Nick Fury,Nicholas Joseph Fury,No alter egos found.,New York City,"S.H.I.E.L.D. director; former S.H.I.E.L.D. agent, intelligence agent, soldier and commando leader, parachuting instructor, stunt flyer",https://www.superherodb.com/pictures2/portraits/10/100/326.jpg
489,Nightcrawler,Kurt Wagner,No alter egos found.,Somewhere in the Bavarian Alps,"Adventurer, Teacher",https://www.superherodb.com/pictures2/portraits/10/100/107.jpg
490,Nightwing,Dick Grayson,"Batman II, Robin",Gotham City,"Vigilante and detective, former police officer, former Circus Acrobat",https://www.superherodb.com/pictures2/portraits/10/100/851.jpg
491,Niki Sanders,Nicole Sanders,No alter egos found.,unknown,Former casino worker and online webcam operator; currently an agent of the Company,https://www.superherodb.com/pictures2/portraits/10/100/952.jpg
492,Nina Theroux,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg
493,Nite Owl II,Daniel Dreiberg,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1059.jpg
494,Northstar,Jean-Paul Beaubier,No alter egos found.,"Montreal, Qu�bec, Canada","Former terrorist, adventurer, teacher, businessman, novelist, professional skier, trapeze artist, thief",https://www.superherodb.com/pictures2/portraits/10/100/1287.jpg
495,Nova,Richard Rider,No alter egos found.,"Queens, NY","Superhero, also works parttime at Marvel Burger",https://www.superherodb.com/pictures2/portraits/10/100/109.jpg
496,Nova,Frankie Raye,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10313.jpg
497,Odin,Odin Borson,No alter egos found.,Asgard,"Deity, Monarch of Asgard, Asgardian God of the Sky, Wind, Wisdom, Crafts, Time, and the Dead, Warrior",https://www.superherodb.com/pictures2/portraits/10/100/10388.jpg
498,Offspring,Luke O'Brian,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1298.jpg
499,Omega Red,Arkady Gregorivich,No alter egos found.,unknown,"Crimelord; former mercenary, KGB agent",https://www.superherodb.com/pictures2/portraits/10/100/208.jpg
500,Omniscient,Omniscient is the closest English word that compares to his alien tongue.,No alter egos found.,Another Unknown World,"Superhero, Grade 9 physics teacher",https://www.superherodb.com/pictures2/portraits/10/100/1003.jpg
501,One Punch Man,Saitama,No alter egos found.,unknown,"Superhero, Sensei",https://www.superherodb.com/pictures2/portraits/10/100/10522.jpg
502,One-Above-All,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10374.jpg
503,Onslaught,Onslaught,No alter egos found.,unknown,Would-be destroyer,https://www.superherodb.com/pictures2/portraits/10/100/13.jpg
504,Oracle,Barbara Gordon,Batgirl,unknown,Computer hacker and Coordinator of the Birds of Prey; Former student; former librarian; former vigilante,https://www.superherodb.com/pictures2/portraits/10/100/749.jpg
505,Osiris,Amon Tomaz,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1165.jpg
506,Overtkill,Nicholas Rocca,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/866.jpg
507,Ozymandias,Adrian Veidt,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1063.jpg
508,Parademon,,No alter egos found.,Apokalips,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10806.jpg
509,Paul Blart,Paul Blart,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10479.jpg
510,Penance,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/929.jpg
511,Penance I,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/930.jpg
512,Penance II,Robert Baldwin,Speedball,"Springdale, Connecticut","Government operative; former adventurer, reality TV star, student, television show intern, engineering intern, lab worker",https://www.superherodb.com/pictures2/portraits/10/100/900.jpg
513,Penguin,Oswald Chesterfield Cobblepot,No alter egos found.,unknown,Trader,https://www.superherodb.com/pictures2/portraits/10/100/753.jpg
514,Phantom,Christopher Walker,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/889.jpg
515,Phantom Girl,Tinya Wazzo,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1184.jpg
516,Phoenix,Jean Grey,"Jean Grey, White Phoenix of The Crown",unknown,Adventurer,https://www.superherodb.com/pictures2/portraits/10/100/828.jpg
517,Plantman,Samuel Smithers,No alter egos found.,"London, England","Professional Criminal, formerly Gardner",https://www.superherodb.com/pictures2/portraits/10/100/10487.jpg
518,Plastic Lad,Luke O'Brian,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1299.jpg
519,Plastic Man,Patrick O'Brian,No alter egos found.,unknown,Government Agent,https://www.superherodb.com/pictures2/portraits/10/100/756.jpg
520,Plastique,Bette Sans Souci,No alter egos found.,unknown,"Government Agent, former Terrorist, Mercenary",https://www.superherodb.com/pictures2/portraits/10/100/1176.jpg
521,Poison Ivy,Pamela Isley,No alter egos found.,"Seattle, Washington","Criminal, Botanist",https://www.superherodb.com/pictures2/portraits/10/100/757.jpg
522,Polaris,Lorna Dane,No alter egos found.,Presumably northern California - not confirmed,"Adventurer, former U.S. government operative, former graduate student in geophysics",https://www.superherodb.com/pictures2/portraits/10/100/1046.jpg
523,Power Girl,Kara Zor-L,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/758.jpg
524,Power Man,Luke Cage,Luke Cage,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1016.jpg
525,Predator,Yautja,No alter egos found.,Yautja Prime,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10448.jpg
526,Professor X,Charles Francis Xavier,No alter egos found.,"New York, New York","Mutant leader, mutant rights activist, geneticist, teacher, adventurer, heir, formerly headmaster, soldier (US Army)",https://www.superherodb.com/pictures2/portraits/10/100/113.jpg
527,Professor Zoom,Eobard Thawne,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/766.jpg
528,Psylocke,Elizabeth Braddock,No alter egos found.,"Braddock Manor, England","Adventurer, formerly a STRIKE operative, fashion model",https://www.superherodb.com/pictures2/portraits/10/100/114.jpg
529,Punisher,Frank Castle,No alter egos found.,"Queens, New York",Former United States Marine turned professional vigilante,https://www.superherodb.com/pictures2/portraits/10/100/112.jpg
530,Purple Man,Zebediah Killgrave,No alter egos found.,unknown,"Professional criminal, Megalomaniac, Former spy",https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg
531,Pyro,St. John Allerdyce,No alter egos found.,"Sydney, Australia","Former government agent, terrorist, bodyguard, novelist, journalist",https://www.superherodb.com/pictures2/portraits/10/100/853.jpg
532,Q,Q,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10578.jpg
533,Quantum,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1157.jpg
534,Question,Charles Victor Szasz,No alter egos found.,unknown,Former Television Investigative Journalist,https://www.superherodb.com/pictures2/portraits/10/100/760.jpg
535,Quicksilver,Pietro Django Maximoff,No alter egos found.,"Wundagore Mountain, Transia (in Eastern Europe)","(current) Adventurer, (former) Terrorist, officer of the Inhumans militia, United States government operative",https://www.superherodb.com/pictures2/portraits/10/100/115.jpg
536,Quill,Maxwell Jordan,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/830.jpg
537,Ra's Al Ghul,Ra's Al Ghul,No alter egos found.,Egypt,"Eco Terrorist, Businessman, Cult Leader",https://www.superherodb.com/pictures2/portraits/10/100/761.jpg
538,Rachel Pirzad,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1530.jpg
539,Rambo,John Rambo,No alter egos found.,"Bowie, Arizona",United States Army soldier (former),https://www.superherodb.com/pictures2/portraits/10/100/10475.jpg
540,Raphael,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10328.jpg
541,Raven,Rachel Roth,No alter egos found.,Azarath,"Adventurer, high school student",https://www.superherodb.com/pictures2/portraits/10/100/764.jpg
542,Ray,Ray Terrill,No alter egos found.,unknown,Freelance Computer Programmer and Software Designer,https://www.superherodb.com/pictures2/portraits/10/100/10204.jpg
543,Razor-Fist II,Douglas Scott,No alter egos found.,unknown,"Mercenary, assassin, bodyguard, enforcer",https://www.superherodb.com/pictures2/portraits/10/100/935.jpg
544,Red Arrow,Roy Harper,No alter egos found.,unknown,Adventurer; intelligence agent; musician,https://www.superherodb.com/pictures2/portraits/10/100/1013.jpg
545,Red Hood,Jason Todd,Robin II,unknown,"Mercenary, Vigilante",https://www.superherodb.com/pictures2/portraits/10/100/932.jpg
546,Red Hulk,Thaddeus E. Ross,No alter egos found.,unknown,Lieutenant general in US Air Force,https://www.superherodb.com/pictures2/portraits/10/100/1342.jpg
547,Red Mist,Chris Genovese,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1337.jpg
548,Red Robin,Tim Drake,Robin III,Gotham City,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10009.jpg
549,Red Skull,Johann Shmidt,No alter egos found.,An unidentified village in Germany,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1392.jpg
550,Red Tornado,John Smith,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1149.jpg
551,Redeemer II,Phil Timper,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1081.jpg
552,Redeemer III,Eddie Frank,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1092.jpg
553,Renata Soliz,,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/1151.jpg
554,Rey,,No alter egos found.,Jakku,Scavenger,https://www.superherodb.com/pictures2/portraits/10/100/10561.jpg
555,Rhino,Aleksei Mikhailovich Sytsevich,No alter egos found.,unknown,"Professional Criminal ,Henchman of the Russian Mafia",https://www.superherodb.com/pictures2/portraits/10/100/15.jpg
556,Rick Flag,Richard Rogers Flag,No alter egos found.,unknown,"Government Agent, Covert Ops field Commander",https://www.superherodb.com/pictures2/portraits/10/100/1352.jpg
557,Riddler,Edward Nigma,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/768.jpg
558,Rip Hunter,Richard Hunter,No alter egos found.,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/10543.jpg
559,Ripcord,Miranda Leevald,No alter egos found.,unknown,"Adventurer, formerly prostitute.",https://www.superherodb.com/pictures2/portraits/10/100/1291.jpg
560,Robin,Dick Grayson,"Batman II, Nightwing",unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/850.jpg
561,Robin II,Jason Todd,Red Hood,unknown,unknown,https://www.superherodb.com/pictures2/portraits/10/100/849.jpg
